heater(s)	3_050_V_fcw_01.mp3	暖房器具

air	3_050_V_fcw_02.mp3	空気

conditioner(s)	3_050_V_fcw_03.mp3	冷暖房装置

ship(s)	3_050_V_fcw_04.mp3	船

oil	3_050_V_fcw_05.mp3	石油

coal	3_050_V_fcw_06.mp3	石炭

natural gas	3_050_V_fcw_07.mp3	天然ガス

air conditioner	3_050_V_fcw_08.mp3	エアコン

fossil fuel(s)	3_050_V_fcw_09.mp3	化石燃料

serious	3_051_V_fcw_01.mp3	深刻な

problem(s)	3_051_V_fcw_02.mp3	問題

necessary	3_051_V_fcw_03.mp3	必要な，なくてはならない

burn	3_051_V_fcw_04.mp3	（〜を）燃やす

produce	3_051_V_fcw_05.mp3	（〜を）つくりだす

cause	3_051_V_fcw_06.mp3	（〜を）引き起こす

pollution	3_051_V_fcw_07.mp3	汚染，公害

run out of ~	3_051_V_fcw_08.mp3	〜を使い切る

greenhouse gas(es)	3_051_V_fcw_09.mp3	温室効果ガス

global warming	3_051_V_fcw_10.mp3	地球温暖化

smog	3_051_V_fcw_11.mp3	スモッグ

acid rain 	3_051_V_fcw_12.mp3	酸性雨

clean	3_052_V_fcw_01.mp3	きれいな

wind	3_052_V_fcw_02.mp3	風

power	3_052_V_fcw_03.mp3	力

solar	3_052_V_fcw_04.mp3	太陽の

including	3_052_V_fcw_05.mp3	〜を含めて

panel(s)	3_052_V_fcw_06.mp3	パネル

wind power	3_052_V_fcw_07.mp3	風力

solar power	3_052_V_fcw_08.mp3	太陽エネルギー

wind tower	3_052_V_fcw_09.mp3	風力発電機

Spain	3_052_V_fcw_10.mp3	スペイン

China	3_052_V_fcw_11.mp3	中国〔国名〕

solar panel	3_052_V_fcw_12.mp3	太陽電池板

less	3_053_V_fcw_01.mp3	より少ない

unplug	3_053_V_fcw_02.mp3	プラグを抜く

waste	3_053_V_fcw_03.mp3	廃棄物

remove	3_053_V_fcw_04.mp3	（〜を）取り除く

ourselves	3_053_V_fcw_05.mp3	私たち自身

transportation	3_053_V_fcw_06.mp3	輸送機関

business	3_053_V_fcw_07.mp3	商業

industry	3_053_V_fcw_08.mp3	工業

turn off ~	3_053_V_fcw_09.mp3	〜を消す

turn down ~	3_053_V_fcw_10.mp3	〜を弱くする

